group,date,home_team,away_team,elo_prob_home,result_home
A,1,Argentina,Canada,,
A,2,Peru,Chile,,
B,3,Mexico,Jamaica,,
B,4,Ecuador,Venezuela,,
C,5,United States,Bolivia,,
C,6,Uruguay,Panama,,
D,7,Brazil,Costa Rica,,
D,8,Colombia,Paraguay,,
A,9,Chile,Argentina,,
A,10,Peru,Canada,,
B,11,Venezuela,Mexico,,
B,12,Ecuador,Jamaica,,
C,13,Panama,United States,,
C,14,Uruguay,Bolivia,,
D,15,Paraguay,Brazil,,
D,16,Colombia,Costa Rica,,
A,17,Argentina,Peru,,
A,18,Canada,Chile,,
B,19,Mexico,Ecuador,,
B,20,Jamaica,Venezuela,,
C,21,United States,Uruguay,,
C,22,Bolivia,Panama,,
D,23,Brazil,Colombia,,
D,24,Costa Rica,Paraguay,,
